Female,Male
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.01,0.01
0.3,0.3
0.4,0.4
0.64527845,0.64527845
0.64527845,0.64527845
0.64527845,0.64527845
0.64527845,0.64527845
0.64527845,0.64527845
0.762295082,0.762295082
0.762295082,0.762295082
0.762295082,0.762295082
0.762295082,0.762295082
0.762295082,0.762295082
0.762295082,0.762295082
0.768942937,0.768942937
0.768942937,0.768942937
0.768942937,0.768942937
0.768942937,0.768942937
0.65,0.65
0.65,0.65
0.65,0.65
0.65,0.65
0.65,0.65
0.65,0.65
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.5,0.5
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.3,0.3
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0.2,0.2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
