FEMALE,MALE
0.031223551,0.032706585
0.030416671,0.031673476
0.029618823,0.030714492
0.028693748,0.029630773
0.027641303,0.028426771
0.026643768,0.027293123
0.025822454,0.026366894
0.025294163,0.025775841
0.024986215,0.025428838
0.024773137,0.025173262
0.024476388,0.024815056
0.024016878,0.024290587
0.023326347,0.023536738
0.022486845,0.02265449
0.021603308,0.021774972
0.020831995,0.02104517
0.020267529,0.020523568
0.019978774,0.020267156
0.019871555,0.020184813
0.019811029,0.020135396
0.019670481,0.020012198
0.019421173,0.019813109
0.0190059,0.01948663
0.018465869,0.019047906
0.017898542,0.018571293
0.017352457,0.01807525
0.016789027,0.01750767
0.016218993,0.016872867
0.015645183,0.016200027
0.015061571,0.015510299
0.014471127,0.014837382
0.013887025,0.014207386
0.013314687,0.013637125
0.012753682,0.013108576
0.01221537,0.012605893
0.011686998,0.012094061
0.011146094,0.011548785
0.010586407,0.010954915
0.010031493,0.010341212
0.009463842,0.009715354
0.008955357,0.009146807
0.008613631,0.00871464
0.008493475,0.008464761
0.008535634,0.008349073
0.008656778,0.008305818
0.008733864,0.008248241
0.008712741,0.008112265
0.00852289,0.007845316
0.008205548,0.007482066
0.00785039,0.007094103
0.007514462,0.006766741
0.007236228,0.00648218
0.007041474,0.006269935
0.006907868,0.00611274
0.006806387,0.005984958
0.006676279,0.005841255
0.006473972,0.005653266
0.006158305,0.005389346
0.005756809,0.005066327
0.005297925,0.004702742
0.004864709,0.004357491
0.004533534,0.004084922
0.004374697,0.00393871
0.004356567,0.003898669
0.004399368,0.003907105
0.004418688,0.003897976
0.004345723,0.003813365
0.004140275,0.003615899
0.003953579,0.003429594
0.003780863,0.003228459
0.003468739,0.002927526
0.003142471,0.002648385
0.00283417,0.002381696
0.002537707,0.002128159
0.001960764,0.001601882
0.001477725,0.001166357
0.001088326,0.000826416
0.000781655,0.000568744
0.000546185,0.000379435
0.000370317,0.000244897
0.000242888,0.000152592
0.000153589,9.16E-05
9.33E-05,5.28E-05
5.42E-05,2.92E-05
3.00E-05,1.54E-05
1.57E-05,7.75E-06
7.78E-06,3.70E-06
3.62E-06,1.67E-06
1.58E-06,7.13E-07
6.45E-07,2.87E-07
2.47E-07,1.09E-07
